"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20658","test_all_tierC_scenarios[Ctier_AboveMaxTerm4Years]","tests","2025-11-19","failed","2025-11-19","","test_tierC","",""
"","19193","test_all_tierC_scenarios[Ctier_AboveMaxVehicleAgeAtEnd]","tests","2025-11-19","failed","2025-11-19","","test_tierC","",""
"","59304","test_all_tierC_scenarios[Ctier_AboveMaxTerm5Years]","tests","2025-11-19","passed","2025-11-19","","test_tierC","",""
"","63743","test_all_tierC_scenarios[Ctier_high_income]","tests","2025-11-19","passed","2025-11-19","","test_tierC","",""
"","25312","test_all_tierC_scenarios[Ctier_HighCreditSearches]","tests","2025-11-19","failed","2025-11-19","","test_tierC","",""
"","58626","test_all_tierC_scenarios[Ctier_LowDeposit]","tests","2025-11-19","passed","2025-11-19","","test_tierC","",""
"","57853","test_all_tierC_scenarios[Ctier_AboveMaxDTI]","tests","2025-11-19","passed","2025-11-19","","test_tierC","",""
"","59823","test_all_tierC_scenarios[Ctier_HighMileage]","tests","2025-11-19","passed","2025-11-19","","test_tierC","",""
"","59981","test_all_tierC_scenarios[Ctier_AboveMaxVehicleAgeAtStart]","tests","2025-11-19","passed","2025-11-19","","test_tierC","",""
"","19969","test_all_tierC_scenarios[Ctier_Over95LTV]","tests","2025-11-19","failed","2025-11-19","","test_tierC","",""
"","19772","test_all_tierC_scenarios[Ctier_lower_income]","tests","2025-11-19","failed","2025-11-19","","test_tierC","",""
